text,gender
And I may or may not have bought two planners for 2016 already and am currently eyeing a another one. #dontjudgeme #sowhatifyoudo,female
"ePower_mag : MASQUERADE AT THE SEA ABOARD THE LIBERTY YACHT: 
SATURDAY OCTOBER 31st, 2015
3560 S. OCEAN DRÛ_ Û_ https://t.co/Af1VexZGOE)",female
"""@AlDubBarkads: I'M JUST A DREAMER CAUGHT IN THE MIDDLE OF REALITY AND MAKE BELIEVE -(QUOTE) #ALDUBPredictions https://t.co/5kxNKjWIZg""",female
@Bauer1544 @TristinIngalsbe I don't understand because it's math but I'll just nod and agree,male
"I could probably cope without eating quite so much of the non-specific basics ""luncheon meat""... I dread to think what's in that",male
"@LaurenDougan29_ ok, thanks. I'm going to Murray park on the Sunday, was gonna call in for one of them frys!!",male
Brandi spilled whiskey all in my car last week and it still fucking smells like it lol that's gonna fun to explain when I get pulled over,female
Where'd the fun people go,male
It was scouts first day of school. She got whipped. The class laughed at her #TKAMhhs15 this is for school,male
@happyhcrry I mean. you could be Lucas if we're talking about the musical,female
Nothing like slipping at school running to your car and getting covered in mud,female
Young Thug - Pass Me The Lighter https://t.co/1eENbQVXdP,male
tbh the hardest and most stressful thing about college is still not knowing what I want to do,female
"Did you ever stop to think, and forget to start again? - A. A. Milne #quote",male
The Digital Entrepreneur: The dream of building a business around digital products and services is ... https://t.co/7JjJvEbI27 #Marketing,male
60. Lead singles from the 90's #KeepOne https://t.co/0yfii4fNjR,female
At the galleria,male
but guarantee I've done this reading for no reason and he doesn't even talk about it because that's just my luck _Ùªâ_ÙªÄ_Ùªâ_ÙªÄ,female
@recognize_cj no I was in park and pressing on the gas to warm my car up in the morning and out of no where my engine sounded like it was,female
The terrorist attacks on Planned Parenthood are getting out of control. Tell the DOJ to step in. https://t.co/6okoOKP0dk,female
@GabrielConte I'm liking the facial hair _Ù÷÷¼ü,female
AngelList and Y Combinator Continue To Shake The Trees ÛÒ  Haywire https://t.co/3hp3tcDbWW,male
"Chick lovely and leggy in some black stockings, model camgirl https://t.co/ARriNq6jZU https://t.co/IzgxBoSUjw",female
7.046 billion people in the world and im still single-__-,female
"@TomBury1 @RobertIrvine design should look, and u should know better than to question The Great Chef Robert Irvine's say in the matter, Tom.",female
Ya boyfriend got 3 kids and none by u. Why are u so vocal?,male
Should I bring my normie boyfriend to the rock gig tomorrow night to meet all my friends?,female
when the police radar in my car goes off so i purposely go the speed limit then someone gets mad and goes around me then gets pulled over _Ù÷Î,female
"Some pics from a a few weeks ago, played a show with Kevin Lee and DEAD HORSE BEATS GOOD TIMES!!!",male
@WhatTheChelle__ I love you all the time _ÙÔ_Ù_,female
FindWorkAustin: #atxjobs Local Restaurant Group Seeks Brand Ambassadors and Lead Ambassador (austin) https://t.co/nnciaJ8wOi #hiring #austÛ_,female
@TotoMartiaI alright I'll trust you and see where it gets me,male
Best Digital Customer Rewards Program for Small Businesses-Want the best digital customer rewards program? Our $39 https://t.co/MkYGJysFLA,male
@DisVisibility I would encourage them to be assertive and try to cultivate a group of mentors who have skills in different areas #NDEAMyouth,male
".@davidvisentin1 In keeping with the season, have you ever shown a haunted house? And @Hilary_Farr, have you ever renovated one? _ÙÔÈ #LIOLI",female
Average on the ochem midterm was 50%........ The high was a 94% LMAO FUCK YOU WHOEVER YOU ARE,female
"We hit 60K today! _Ùª  - &amp; for that I wanna just shout out each and everyone of you, because y'all areÛ_ https://t.co/bIogDLgkKP",female
"@wbahner meh...age is lovely, inevitable and graceful. It's all in how ya look at it. I love myself the older I become. Everyone should.",female
He had major surgery 4 days ago and I'm already telling him to get off his butt..._Ùªö https://t.co/bDEJqbOiT2,female
"@MarkAcorns Wow, thanks Mark for the follow. Pleasure to connect with you and hope you enjoy my tweets.",female
Haha it's strange watching a fight happening and me not being involved. _Ù÷â,male
@HeyBrayBray What process? The roster is far worse now and you gotta start over next year with a new QB again,male
Just saw Mr. Fox texting and driving _Ù÷¤,male
"has anyone traded in their digital code and received the disc?
if so, how did you receive it?(USPS,UPS, or FedEx?)",male
In the worst mood ever :),female
"BARCELLONAÛªS ART EXHIBITIONS
 https://t.co/Dfs7E3hFMG",male
Where were these people for disability benefit cuts and unfair assessments? https://t.co/xsvlGK0V5G,female
"I got 99 problems, and they're all homework!",male
"Good night and good sleep
Sleep well and sweet dreams
See you bye take care my dear... https://t.co/lhOtWqQmJI",male
i dotn know what this means all i could think of was this reaction pic when i saw the pic of louis,male
There are people you came across earlier in your life and you still regret the mistake of knowing them.,male
@RiderMach ((Mach driver has shit car and bike support but it is too much)),female
happy birthday @McDonaldKylie and @Rego3Thompson hope you have a good day :-),female
@ohVTL RIP you were the best person on all of the fast and the furious movies,male
Remember when #Steelers were unhappy with #Patriots defensive line shift? The #Patriots got the #JetsÛ_ https://t.co/mAhxpEv9NW,male
"To address this problem I may have to get money together and buy jumpers, I'll no longer be cold when I wear them",male
Lactose-free milk really does go bad when the date on the box says. Especially if you're using it for pasta. _Ù÷Ó,female
Still haven't mastered the work commute with hot coffee juggle,female
Keep your face to the sunshine and you cannot see a shadow.,male
Meat vs smoking and #cancer risk. There's a big difference between level of evidence and relative risk. #WHO https://t.co/QYaEb69OLk,male
A kid after my own heart - he wants nothing to do but sit in bed and read. #ilovehim #read https://t.co/uPXLw711p1,female
Ugh I can't decide what I want to be this weekend and it's stressing me out,female
Lauren Holiday retiring is going to hit me the most when they play the next game and she's not in the starting line up _ÙÕÓ,female
"Q5 During the holidays, ALL brands are competing for attention on social, how do you stand out? #contentchat",female
